Keyword,Rank,Name,OriginalPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
스카프,,워너비 투톤 스카프 간절기 겨울용,"24,900원","12,900원",판매자로켓,내일(목) 도착 보장,N,84,645원,,https://www.coupang.com/vp/products/8315275554?itemId=23997188179&vendorItemId=91018082363&sourceType=srp_product_ads&clickEventId=05d460d0-bfac-11f0-88a8-3d75b7dedf2e&korePlacement=15&koreSubPlacement=12&clickEventId=05d460d0-bfac-11f0-88a8-3d75b7dedf2e&korePlacement=15&koreSubPlacement=12,
스카프,7,1+1 바바 프리미엄 레트로 고급 롱 스카프 머플러 2종세트,"26,900원","9,900원",,모레(금) 도착 예정,Y,110,495원,,https://www.coupang.com/vp/products/8556554097?itemId=24778286748&vendorItemId=91786279329&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=12&rank=12,
스카프,8,국내산 부드러운 롱 스카프 아사 면,"16,800원","10,200원",판매자로켓,내일(목) 도착 보장,N,75,510원,,https://www.coupang.com/vp/products/8725779682?itemId=26820089265&vendorItemId=93790279120&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=13&rank=13,
스카프,9,70X70 여성 봄 가을 쁘띠 스카프 3세트,"19,800원","9,680원",,모레(금) 도착 예정,Y,108,484원,,https://www.coupang.com/vp/products/8022208983?itemId=22417422148&vendorItemId=89462189470&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=14&rank=14,
스카프,10,마리앙 마름모 스카프 가을스카프 롱스카프 여성스카프 뜨왈 플라워 배색 간절기 스카프,"26,000원","23,800원",판매자로켓,내일(목) 도착 보장,Y,13,"1,190원",,https://www.coupang.com/vp/products/9103806387?itemId=26764478427&vendorItemId=93810578662&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=15&rank=15,
스카프,16,우브레 쁘띠 스카프 2종 세트,"29,750원","8,400원",판매자로켓,내일(목) 도착 보장,N,132,420원,,https://www.coupang.com/vp/products/7959067228?itemId=22001588775&vendorItemId=89049112192&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=16&rank=16,
스카프,17,메리앤유 소프트터치 웨이브 디테일 투톤 배색 스카프 국산,"25,000원","15,800원",판매자로켓,내일(목) 도착 보장,N,27,790원,,https://www.coupang.com/vp/products/9058052607?itemId=26591396572&vendorItemId=91548924576&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=17&rank=17,
스카프,18,[4종세트] 허블리 여성 부드러운 자석버클 사각 쁘띠 스카프 머플러,"32,000원","12,800원",판매자로켓,내일(목) 도착 보장,N,13,640원,,https://www.coupang.com/vp/products/9150851620?itemId=26945480387&vendorItemId=93914888617&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=18&rank=18,
스카프,19,루나뷰링 여성 쁘띠 미니 목 자석 스카프 3종,,"9,500원",,모레(금) 도착 예정,Y,170,475원,,https://www.coupang.com/vp/products/8576595171?itemId=24854469477&vendorItemId=92885434355&q=스카프&searchId=e75e78132714199&sourceType=search&itemsCount=36&searchRank=19&rank=19,
스카프,,워너비 투톤 스카프 간절기 겨울용,"24,900원","12,900원",판매자로켓,내일(목) 도착 보장,N,84,645원,,https://www.coupang.com/vp/products/8315275554?itemId=23997188181&vendorItemId=91018082366&sourceType=srp_product_ads&clickEventId=05d460d0-bfac-11f0-a945-c3c54e4f05f8&korePlacement=15&koreSubPlacement=21&clickEventId=05d460d0-bfac-11f0-a945-c3c54e4f05f8&korePlacement=15&koreSubPlacement=21,
